population,price,income,employment,poverty,area
3732,552600,35026,70.4,607,676
3317,649700,35972,51.5,500,677
3162,564800,56302,62.3,555,678
3402,559600,38488,53.6,767,679
3604,528800,56624,68.9,520,680
3011,569900,40915,64.4,662,681
2849,547800,34621,55,854,682
2826,500000,25106,45.2,1196,683
3298,338900,27867,52.6,1788,684
4003,488500,23473,43.2,1138,685
3128,346900,64593,63.5,275,686
4622,337300,47670,65.9,222,687
3795,478300,58710,69.2,450,688
4216,444200,44372,66.1,745,689
5115,277100,45006,67.2,710,690
5245,0,37413,55.8,1377,691
3682,"1,000,000+",22103,28.7,368,692
2209,292200,27004,56.1,551,693
2584,525000,33591,66.1,554,694
2493,413600,40968,66.4,318,695
2248,591500,35939,74.7,387,696
2998,408800,29399,66,743,697
3381,368800,38781,59,902,698
2146,397400,26629,57.8,605,699
3569,0,41022,61.2,811,700
5981,503600,20449,37.8,1517,701
1988,423600,37128,62.8,341,702
1429,361100,47166,71.9,438,703
3479,312300,35909,59.7,763,704
5576,416200,32951,62.8,1264,705
5862,393500,36395,60.7,1320,706
4862,425400,36834,60.9,988,707
3238,404200,36984,66.3,694,708
4575,346900,35808,60.4,934,709
3557,428700,37781,60.6,672,710
3944,370200,39383,61.2,797,711
3958,360200,42213,54.8,815,712
3455,398400,35887,57.2,600,713
3689,320900,45367,57.6,589,714
2940,404500,42809,65.6,614,715
4762,388300,39286,64.4,878,716
4704,345100,34570,61.1,1203,717
4256,348200,36072,64.5,1173,718
4538,393700,42607,62.5,738,719
5365,341500,33253,59.6,1051,720
3193,357200,28232,50.4,705,721
4326,331300,51453,67.4,786,722
3795,470100,33698,56.9,821,723
5798,298600,33427,61.4,1450,724
3207,384400,46095,62.1,690,725
4553,450000,45645,61,683,726
2894,358600,39303,47.1,1033,727
3543,315900,34544,68.3,678,728
4240,397300,32483,60.8,876,729
4925,419200,41008,57.6,884,730
4799,382900,43616,63.4,560,731
4371,447300,47334,63.4,460,732
7636,325000,45982,61,1325,733
4744,329500,30448,63.1,1077,734
4780,436000,33517,64.3,1062,735
4937,365300,31859,65.8,1291,736
5697,336400,37582,63.4,1365,737
2686,443300,33411,63.5,588,738
5254,334300,35732,62.5,1062,739
3006,328600,38576,64.1,713,740
3614,361500,44025,59,488,741
6904,403100,42550,60.6,1096,742
5056,354500,38332,58.4,1009,743
6040,351100,42249,59.1,1030,744
6068,373900,38232,63,914,745
4206,448700,38450,59.3,739,746
5855,466100,59141,63.1,601,747
2542,445000,71379,49,232,748
4297,336200,46382,56.6,732,749
2577,386500,51744,64.8,369,750
2232,426100,45637,61.4,174,751
5005,383300,63829,68.7,820,752
3899,329900,46039,55.1,449,753
3460,287200,56990,63.5,312,754
3061,409400,28885,51.1,626,755
3771,474200,42739,55.9,654,756
4752,416900,77207,67.7,292,757
2711,401300,48227,66.2,458,758
4127,516200,34493,55.1,807,759
4240,576900,81295,61,117,760
5268,0,39020,56.3,958,761
5238,0,29449,54.9,1315,762
3799,0,40730,66.9,454,763
3444,669400,31679,65.2,817,764
4440,355500,72349,63.5,315,765
3890,346900,43315,65.2,779,766
2885,345100,36130,57,587,767
3694,403500,41509,60.8,668,768
4720,347800,47243,65.3,608,769
4961,325400,47729,63.3,471,770
3482,241400,44047,64.6,301,771
3404,406000,45753,53.2,293,772
2574,387500,41886,62,382,773
3892,404800,37223,59.7,607,774
3466,207300,39339,63.6,768,775
3389,401200,32261,55,665,776
4646,385100,51171,50.7,546,777
3738,351900,53231,53.4,468,778
5704,386400,60580,58.6,524,779
5066,378300,56131,65,506,780
5233,441300,43019,59.2,436,781
4566,331500,31188,60.9,1076,782
3237,389600,33962,57.8,780,783
4588,407300,56781,58.4,492,784
3200,400000,32402,57.1,641,785
4967,371800,42870,57.5,730,786
4166,330700,41480,64.3,629,787
3442,272300,38967,61.1,677,788
2963,369000,46491,60.4,491,789
3425,339100,38322,59.1,623,790
3385,363100,39441,58.9,710,791
3511,225600,33908,50.4,818,792
3586,298500,39272,61,756,793
4712,370900,34485,60.4,1026,794
3732,357900,35379,53,742,795
3631,344500,34583,61.7,780,796
4340,371200,41479,61.9,823,797
3809,332500,32038,55.1,700,798
5697,388100,48661,54.4,680,799
5450,353500,38983,57.5,997,800
4558,344600,39351,54.1,831,801
4616,295900,47631,66.1,688,802
3862,345900,33091,52.7,653,803
5676,396200,38293,62.6,950,804
4166,321100,38690,64.7,536,805
6113,325800,38921,51.5,893,806
4992,317800,42481,55.7,1035,807
5509,405700,45498,61.4,779,808
3918,346200,38632,65.8,958,809
4231,284800,48807,62.6,586,810
2729,346500,35715,58.9,524,811
4913,283700,36660,53.3,950,812
2614,338800,39193,61,361,813
4994,434200,40235,53.2,726,814
2131,318300,46142,56.1,357,815
3363,355800,38610,58,461,816
